"BM-V-01","validation","V1: Detect (0,0,0) in EP1 — must flag ERROR"
"BM-V-02","validation","V1: Single zero axis (0,5000,3000) is valid — no error"
"BM-V-03","validation","V1: SUPPORT at (0,0,0) — must flag ERROR"
"BM-V-04","validation","V2: Bore as integer (400) vs coords 4-decimal — ERROR at generation"
"BM-V-05","validation","V2: All coords and bore at 4-decimal — PASS"
"BM-V-06","validation","V3: REDUCER with EP1 bore=400, EP2 bore=400 — ERROR (not a reducer)"
"BM-V-07","validation","V3: REDUCER EP1=400, EP2=350 — PASS"
"BM-V-08","validation","V3: PIPE bore changes 400→350 without being reducer — ERROR"
"BM-V-09","validation","V4: BEND CP equals EP1 — degenerate bend ERROR"
"BM-V-10","validation","V5: BEND CP equals EP2 — degenerate bend ERROR"
"BM-V-11","validation","V6: BEND CP on EP1-EP2 line (collinear) — ERROR"
"BM-V-12","validation","V6: BEND CP properly off EP1-EP2 line — PASS"
"BM-V-13","validation","V7: BEND dist(CP,EP1)=500, dist(CP,EP2)=505 — WARNING"
"BM-V-14","validation","V7: BEND CP equidistant from EP1 and EP2 — PASS"
"BM-V-15","validation","V8: TEE CP off midpoint by 5mm — ERROR"
"BM-V-16","validation","V8: TEE CP at exact midpoint — PASS"
"BM-V-17","validation","V9: TEE CP bore=350 but EP bore=400 — ERROR"
"BM-V-18","validation","V10: TEE BP 30° from perpendicular — WARNING"
"BM-V-19","validation","V10: TEE BP exactly perpendicular — PASS"
"BM-V-20","validation","V11: OLET with EP1 populated — ERROR"
"BM-V-21","validation","V11: OLET with only CP and BP, no EPs — PASS"
"BM-V-22","validation","V12: SUPPORT with CA1 populated — ERROR"
"BM-V-23","validation","V12: SUPPORT with no CAs — PASS"
"BM-V-24","validation","V13: SUPPORT bore=350 (must be 0) — ERROR"
"BM-V-25","validation","V13: SUPPORT bore=0 — PASS"
"BM-V-26","validation","V14: FLANGE with empty SKEY — WARNING"
"BM-V-27","validation","V14: PIPE with empty SKEY — PASS (not required for PIPE)"
"BM-V-28","validation","V15: EP2[0] and EP1[1] differ by 5mm — WARNING"
"BM-V-29","validation","V15: EP2[0] exactly equals EP1[1] — PASS"
"BM-V-30","validation","V16: PIPE with CA8 (weight) populated — WARNING"
